brand,model,img_link,link,msrp_price,discount_price,year
Trek, E-Caliber 9.9 XX1,https://www.ctc.co.il/wp-content/uploads/2022/01/E-Caliber-9.9-XX1-AXS-1-480x330.jpg,https://www.ctc.co.il/product/trek-e-caliber-9-9-xx1-axs/,64990,,בקרוב
Trek, E-Caliber 9.8,https://www.ctc.co.il/wp-content/uploads/2022/01/ECall98GX_22_35767_B_Primary-480x330.jpg,https://www.ctc.co.il/product/trek-e-caliber-9-8-gx/,48990,,בקרוב
Trek, E-Caliber 9.8,https://www.ctc.co.il/wp-content/uploads/2022/01/ECaliber98XTUS_21_34670_B_Primary-480x330.jpg,https://www.ctc.co.il/product/trek-e-caliber-9-8-xt/,48990,,בקרוב
Trek, Rail 9.9,https://www.ctc.co.il/wp-content/uploads/2020/12/Rail99X01_21_32815_B_Primary-480x330.jpg,https://www.ctc.co.il/product/trek-rail-9-9-2021/,47800,,2021
Trek, Rail 9.8 GX AXS,https://www.ctc.co.il/wp-content/uploads/2021/12/Rail-9.8-GX-AXS-2022-1-480x330.jpg,https://www.ctc.co.il/product/trek-rail-9-8-gx-axs-2022/,התקשר/י לפרטים,,2022
Trek, Rail 9.8 XT,https://www.ctc.co.il/wp-content/uploads/2021/12/Rail-9.8-XT-2022-1-480x330.jpg,https://www.ctc.co.il/product/trek-rail-9-8-xt-2022/,התקשר/י לפרטים,,2022
Trek, Rail 9.8 XT,https://www.ctc.co.il/wp-content/uploads/2020/08/Rail98XT_21_32814_A_Primary-480x330.jpg,https://www.ctc.co.il/product/trek-rail-9-8-2021/,41500,,2021
Trek, Rail 9.7,https://www.ctc.co.il/wp-content/uploads/2021/11/Rail-9.7-SLX-XT-2022-Miami-Green-Nautical-Navy-1-480x330.jpg,https://www.ctc.co.il/product/trek-rail-9-7-2022/,37990,,2022
Trek, Rail 9,https://www.ctc.co.il/wp-content/uploads/2021/12/Rail-9-GX-2022-Green-1-480x330.jpg,https://www.ctc.co.il/product/trek-rail-9-2022/,36990,,2022
Trek, Rail 9.7,https://www.ctc.co.il/wp-content/uploads/2020/12/Rail97NX_21_32813_A_Primary-480x330.jpg,https://www.ctc.co.il/product/trek-rail-9-7-2021/,35400,,2021
Trek, E-Caliber,https://www.ctc.co.il/wp-content/uploads/2021/12/E-Caliber-9.6-1-480x330.jpg,https://www.ctc.co.il/product/trek-e-caliber-9-6/,34990,,בקרוב
Trek, Rail 9,https://www.ctc.co.il/wp-content/uploads/2020/08/Rail9GX_21_32819_A_Primary-480x330.jpg,https://www.ctc.co.il/product/trek-rail-9-2021/,34900,,2021
אופניים,אופניים חשמליים Trek,https://www.ctc.co.il/wp-content/uploads/2020/03/Trek_Rail_8-1-480x330.jpg,https://www.ctc.co.il/product/trek-rail-read-more/,קרא/י עוד,,בקרוב
Trek, Rail 7,https://www.ctc.co.il/wp-content/uploads/2021/12/Rail-7-Deore-XT-2022-Blue-1-480x330.jpg,https://www.ctc.co.il/product/trek-rail-7-2022/,31990,,2022
Trek, Rail 9.5,https://www.ctc.co.il/wp-content/uploads/2021/12/Rail95Deore_22_35336_B_Primary-480x330.jpg,https://www.ctc.co.il/product/trek-rail-9-5-2022/,31990,,2022
Trek, Rail 7,https://www.ctc.co.il/wp-content/uploads/2020/08/Rail7SLXXT_21_32809_B_Primary-480x330.jpg,https://www.ctc.co.il/product/trek-rail-7-2021/,30240,,2021
Trek, Rail 5 625w,https://www.ctc.co.il/wp-content/uploads/2021/12/Rail-5-Deore-2022-RED-1-480x330.jpg,https://www.ctc.co.il/product/trek-rail-5-2022/,28500,,2022
Trek, Powerfly FS 7,https://www.ctc.co.il/wp-content/uploads/2021/01/PowerflyFS7_21_32760_B_Primary-480x330.jpg,https://www.ctc.co.il/product/trek-powerfly-fs-7-2021/,27930,,2021
Trek, Powerfly FS 4,https://www.ctc.co.il/wp-content/uploads/2021/01/PowerflyFS4_21_32759_A_Primary-480x330.jpg,https://www.ctc.co.il/product/trek-powerfly-fs-4-2021/,25650,,2021
Trek, Rail 5,https://www.ctc.co.il/wp-content/uploads/2020/08/Rail5_20_30037_A_Primary-480x330.jpg,https://www.ctc.co.il/product/trek-rail-5-2021/,25450,,2021
Trek, Powerfly LT 4,https://www.ctc.co.il/wp-content/uploads/2019/11/Trek-Powerfly-LT-4-2020-1-480x330.jpg,https://www.ctc.co.il/product/trek-powerfly-lt-4-2020/,22750,,2020
Trek, Powerfly FS 5,https://www.ctc.co.il/wp-content/uploads/2019/11/Trek-Powerfly-FS-5-2020-1-480x330.jpg,https://www.ctc.co.il/product/trek-powerfly-fs-5-2020/,22750,,2020
Trek, Powerfly FS 5,https://www.ctc.co.il/wp-content/uploads/2019/09/PowerflyFS5EU_19_23254_B_Primary-480x330.jpg,https://www.ctc.co.il/product/trek-powerfly-fs-5-2019/,21450,,2019
TREK,REK Gift Card - המתנה שרוכבים אוהבים ,https://www.ctc.co.il/wp-content/uploads/2019/12/Gift-Card-480x330.jpg,https://www.ctc.co.il/product/gift-card/,התקשר/י לפרטים,,בקרוב
Specialized, Levo sw carbon nb,https://www.matzman-merutz.co.il/Media/Uploads/952210703(3).webp,https://www.matzman-merutz.co.il/levo-sw-carbon-nb,55495,,2022
Specialized, Levo pro carbon nb,https://www.matzman-merutz.co.il/Media/Uploads/952211103(3).webp,https://www.matzman-merutz.co.il/levo-pro-carbon-nb,47995,,2022
Specialized, KENEVO SL EXPERT,https://www.matzman-merutz.co.il/Media/Uploads/980213603.webp,https://www.matzman-merutz.co.il/אופני-הרים-חשמליים-kenevo-sl-expert,38995,,2022
Specialized, Levo expert carbon nb,https://www.matzman-merutz.co.il/Media/Uploads/964213302(3).webp,https://www.matzman-merutz.co.il/levo-expert-carbon-nb,38995,,2022
Specialized, Turbo Levo Comp Carbon,https://www.matzman-merutz.co.il/Media/Uploads/964225102.webp,https://www.matzman-merutz.co.il/אופני-הרים-חשמליים-turbo-levo-comp-carbon,31995,,2022
Specialized, LEVO COMP ALLOY,https://www.matzman-merutz.co.il/Media/Uploads/952225503.webp,https://www.matzman-merutz.co.il/אופני-הרים-חשמליים---levo-comp-alloy,27995,,2022
Specialized,  Levo Comp 29,https://www.matzman-merutz.co.il/Media/Uploads/952215303.webp,https://www.matzman-merutz.co.il/specialized-levo-comp-29,27995,,2021
Specialized,  Turbo LEVO SL Comp Carbon,https://www.matzman-merutz.co.il/Media/Uploads/968215503.webp,https://www.matzman-merutz.co.il/specialized-turbo-levo-sl-comp-carbon,27995,,2021
Specialized, Turbo LEVO SL Comp,https://www.matzman-merutz.co.il/Media/Uploads/968205103.webp,https://www.matzman-merutz.co.il/turbo-levo-sl,24995,,2021
Merida,"
        eONE-SIXTY 775   
    ",https://www.rosen-meents.co.il/files/catalog/item/thumb/04_10_2021_11_31_56.jpg?v=1,https://www.rosen-meents.co.il/index.php?dir=site&page=catalog&op=item&cs=23742,"32,442",,2022
Merida,"
        eONE-SIXTY 975   
    ",https://www.rosen-meents.co.il/files/catalog/item/thumb/eONE_SIXTY_975_blkslv_MY2022.jpg?v=1,https://www.rosen-meents.co.il/index.php?dir=site&page=catalog&op=item&cs=24816,"36,000",,2022
Merida,"
        eONE-SIXTY 775  
    ",https://www.rosen-meents.co.il/files/catalog/item/thumb/775_2022_TIT.jpg?v=1,https://www.rosen-meents.co.il/index.php?dir=site&page=catalog&op=item&cs=24881,"32,442",,2022
Merida,"
        eONE-SIXTY 575 
    ",https://www.rosen-meents.co.il/files/catalog/item/thumb/14_03_2022_14_00_46.jpg?v=1,https://www.rosen-meents.co.il/index.php?dir=site&page=catalog&op=item&cs=24884,"28,407",,2022
